event      time       ack      flag       seq      size  checksum
rcv        0.00         0         S         0         0     65023
snd        0.00         0       A/S         0         0     60927
rcv        0.00         0         A         0         0     61439
rcv        0.50         0         D         0       512       348
snd        0.50         0         A         0         0     61439
rcv        0.51         0         D         0       512       348
snd/DA     0.51         0         A         0         0     61439
rcv        0.51         0         D       512       512     43628
snd        0.51       512         A         0         0     60927
rcv        0.51         0         D      1024       512     64555
snd        0.51      1024         A         0         0     60415
rcv        0.51         0         D      1536       512      3957
snd        0.51      1536         A         0         0     59903
rcv        0.51         0         D      2048       512     35387
snd        0.51      2048         A         0         0     59391
rcv        0.52         0         D      2560       468     45176
snd        0.52      2560         A         0         0     58879
rcv        0.52         0         D      2560       468     45176
snd/DA     0.52      2560         A         0         0     58879
rcv        0.52         0         F      2560         0     62719
snd        0.52      2560       A/F         0         0     58623
rcv        0.52         0         F      2560         0     62719
snd        0.52      2560       A/F         0         0     58623
rcv        0.52         0         A      2560         0     58879
