event      time       ack      flag       seq      size  checksum
snd        0.00         0         S         0         0     65023
rsv        0.00         0       A/S         0         0     60927
snd        0.00         0         A         0         0     61439
snd/RXT    0.50         0         D         0       512       348
rsv        0.50         0         A         0         0     61439
snd/dely   0.51         0         D         0         0         0
snd        0.51         0         D       512       512     43628
rsv/DA     0.51         0         A         0         0     61439
rsv        0.51       512         A         0         0     60927
snd        0.51         0         D      1024       512     64555
rsv        0.51      1024         A         0         0     60415
snd        0.51         0         D      1536       512      3957
rsv        0.51      1536         A         0         0     59903
snd        0.51         0         D      2048       512     35387
rsv        0.52      2048         A         0         0     59391
snd        0.52         0         D      2560       468     45176
snd/RXT    0.52         0         D      2560       468     45176
rsv        0.52      2560         A         0         0     58879
snd        0.52         0         F      2560         0     62719
rsv        0.52      2560         A         0         0     58879
snd        0.52         0         F      2560         0     62719
rsv        0.52      2560       A/F         0         0     58623
snd        0.52         0         A      2560         0     58879
